Transaction date,Transaction,Name,Memo,Amount
2/24/2022,CREDIT,PREAUTHORIZED PAYMENT,,1006.41
2/19/2022,DEBIT,seedbox.io Norresundby DNK DNK,Rewards earned: 0.17 ~ Category: Bill Payment,-8.6
2/17/2022,DEBIT,DIDS AUTHENTIC ITALIAN VANCOUVER,Rewards earned: 0.45 ~ Category: Restaurant,-22.5
2/17/2022,DEBIT,DENMAN BIKE SHOP LTD. VANCOUVER ,Rewards earned: 1.08 ~ Category: Other,-215.23
2/17/2022,DEBIT,DENMAN BIKE SHOP LTD. VANCOUVER ,Rewards earned: 13.65 ~ Category: Other,-2729.99
2/7/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 0.36 ~ Category: Gas,-71.39
2/7/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 0.84 ~ Category: Other,-167.83
2/6/2022,DEBIT,STUART'S VANCOUVER BC,Rewards earned: 0.10 ~ Category: Groceries,-4.85
2/6/2022,DEBIT,LINH CAFE VANCOUVER BC,Rewards earned: 1.91 ~ Category: Restaurant,-95.68
